MG-RAST id,order of rows in Figure 5,virome/total_comm,project,sample id,genome project id,Pubmed id,percentage reads crAssphage,crAssphage reads,total reads,Biome,Feature,Material,Environmental Package
4472171.3,704,total_community,Human Microbiome Project (HMP),SRR059385,,19819907,2.31134E-05,2,8652993,terrestrial biome,human-associated habitat,mucus,human-oral
4472385.3,605,total_community,Human Microbiome Project (HMP),SRR059965,,19819907,2.30624E-05,8,34688551,terrestrial biome,human-associated habitat,mucus,human-oral
4473450.3,567,total_community,Human Microbiome Project (HMP),SRR062474,,19819907,2.304E-05,10,43402737,terrestrial biome,human-associated habitat,mucus,human-oral
4472940.3,556,total_community,Human Microbiome Project (HMP),SRR061500,,19819907,2.28614E-05,11,48115937,terrestrial biome,human-associated habitat,mucus,human-oral
4472346.3,383,total_community,Human Microbiome Project (HMP),SRR059900,,19819907,2.27101E-05,17,74856711,terrestrial biome,human-associated habitat,feces,human-gut
4472378.3,568,total_community,Human Microbiome Project (HMP),SRR059954,,19819907,2.2633E-05,12,53019962,terrestrial biome,human-associated habitat,mucus,human-oral
4473136.3,722,total_community,Human Microbiome Project (HMP),SRR061981,,19819907,2.23737E-05,2,8939058,terrestrial biome,human-associated habitat,mucus,human-oral
4472492.3,591,total_community,Human Microbiome Project (HMP),SRR060384,,19819907,2.16671E-05,10,46152947,terrestrial biome,human-associated habitat,mucus,human-oral
4478518.3,692,total_community,Human Microbiome Project (HMP),SRR062343,,19819907,2.16279E-05,2,9247334,terrestrial biome,human-associated habitat,mucus,human-oral
4473235.3,818,total_community,Human Microbiome Project (HMP),SRR062090,,19819907,2.11707E-05,5,23617528,terrestrial biome,human-associated habitat,organic material,human-skin
4473011.3,590,total_community,Human Microbiome Project (HMP),SRR061571,,19819907,2.10521E-05,9,42750981,terrestrial biome,human-associated habitat,mucus,human-oral
4472445.3,630,total_community,Human Microbiome Project (HMP),SRR060122,,19819907,2.09178E-05,7,33464351,terrestrial biome,human-associated habitat,mucus,human-oral
4472154.3,738,total_community,Human Microbiome Project (HMP),SRR059368,,19819907,2.05661E-05,2,9724763,terrestrial biome,human-associated habitat,mucus,human-oral
